"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC03","HC01_VC04","HC01_VC06","HC01_VC07","HC01_VC08","HC01_VC09","HC01_VC10","HC01_VC11","HC01_VC12","HC01_VC75","HC01_VC85","HC01_VC86","HC01_VC87","HC01_VC88","HC01_VC89","HC01_VC90","HC01_VC91"
"273","1400000US11001007401",11001007401,"Census Tract 74.01, District of Columbia, District of Columbia","2012",841,525,345,50,27,85,41,390,277,660,84,328,520,171,10,62,24
"274","1400000US11001007403",11001007403,"Census Tract 74.03, District of Columbia, District of Columbia","2012",1174,760,396,75,38,66,19,619,339,1083,103,462,696,350,43,59,35
"275","1400000US11001007404",11001007404,"Census Tract 74.04, District of Columbia, District of Columbia","2012",1166,789,519,135,79,48,19,606,421,1501,166,169,714,299,76,244,85
"276","1400000US11001007406",11001007406,"Census Tract 74.06, District of Columbia, District of Columbia","2012",1037,783,490,130,54,49,12,604,424,1438,61,301,733,302,0,57,15
"277","1400000US11001007407",11001007407,"Census Tract 74.07, District of Columbia, District of Columbia","2012",1036,676,314,167,50,141,78,368,186,606,38,143,650,394,100,93,57
"278","1400000US11001007408",11001007408,"Census Tract 74.08, District of Columbia, District of Columbia","2012",1047,664,419,139,54,19,0,506,365,1203,91,397,964,180,11,33,20
"279","1400000US11001007409",11001007409,"Census Tract 74.09, District of Columbia, District of Columbia","2012",1512,865,544,149,87,92,54,624,403,1207,27,346,1020,350,66,101,73
"280","1400000US11001007502",11001007502,"Census Tract 75.02, District of Columbia, District of Columbia","2012",1650,936,531,144,66,89,81,703,384,1657,69,368,1090,427,168,203,78
"281","1400000US11001007503",11001007503,"Census Tract 75.03, District of Columbia, District of Columbia","2012",854,531,324,87,35,37,30,407,259,779,27,255,649,280,27,48,63
"282","1400000US11001007504",11001007504,"Census Tract 75.04, District of Columbia, District of Columbia","2012",975,569,312,150,45,51,24,368,243,870,112,262,507,350,0,80,79
"283","1400000US11001007601",11001007601,"Census Tract 76.01, District of Columbia, District of Columbia","2012",1804,840,328,341,101,39,13,460,214,1047,112,384,1281,836,139,224,81
"284","1400000US11001007603",11001007603,"Census Tract 76.03, District of Columbia, District of Columbia","2012",2019,815,273,255,4,69,32,491,237,630,77,270,719,869,187,514,344
"285","1400000US11001007604",11001007604,"Census Tract 76.04, District of Columbia, District of Columbia","2012",1682,749,282,396,115,93,39,260,128,748,91,129,738,734,113,511,303
"286","1400000US11001007605",11001007605,"Census Tract 76.05, District of Columbia, District of Columbia","2012",1632,817,244,259,49,129,78,429,117,556,83,410,1066,467,97,211,214
"287","1400000US11001007703",11001007703,"Census Tract 77.03, District of Columbia, District of Columbia","2012",2219,1151,651,235,151,102,60,814,440,1466,136,554,1060,936,153,293,31
"288","1400000US11001007707",11001007707,"Census Tract 77.07, District of Columbia, District of Columbia","2012",1471,957,364,308,105,112,25,537,234,1353,45,372,1062,634,93,228,209
"289","1400000US11001007708",11001007708,"Census Tract 77.08, District of Columbia, District of Columbia","2012",1075,590,298,128,46,77,44,385,208,738,45,141,876,281,110,150,74
"290","1400000US11001007709",11001007709,"Census Tract 77.09, District of Columbia, District of Columbia","2012",937,307,140,88,24,7,0,212,116,349,74,133,470,318,59,90,47
"291","1400000US11001007803",11001007803,"Census Tract 78.03, District of Columbia, District of Columbia","2012",1340,559,202,167,4,43,34,349,164,610,88,154,707,537,81,221,125
"292","1400000US11001007804",11001007804,"Census Tract 78.04, District of Columbia, District of Columbia","2012",1051,548,247,192,43,24,24,332,180,736,181,331,839,460,36,59,86
"293","1400000US11001007806",11001007806,"Census Tract 78.06, District of Columbia, District of Columbia","2012",864,495,206,165,72,101,32,229,102,613,64,90,686,354,51,215,7
"294","1400000US11001007807",11001007807,"Census Tract 78.07, District of Columbia, District of Columbia","2012",876,551,346,165,79,31,19,355,248,784,30,200,635,344,16,27,43
