"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC05","HC01_VC64","HC01_VC117","HC01_VC118","HC01_VC119","HC01_VC120","HC01_VC121","HC01_VC122","HC01_VC123","HC01_VC124","HC01_VC192","HC01_VC193","HC01_VC194","HC01_VC195","HC01_VC196","HC01_VC197"
"657","1400000US11001008001",11001008001,"Census Tract 80.01, District of Columbia, District of Columbia","2014",41,403,6,29,15,0,7,257,601,34,38,15,123,57,35,130
"658","1400000US11001008002",11001008002,"Census Tract 80.02, District of Columbia, District of Columbia","2014",39,555,17,39,0,0,58,341,574,18,96,69,127,79,50,117
"659","1400000US11001008100",11001008100,"Census Tract 81, District of Columbia, District of Columbia","2014",134,588,21,0,0,49,0,79,484,151,41,153,87,113,43,119
"660","1400000US11001008200",11001008200,"Census Tract 82, District of Columbia, District of Columbia","2014",154,837,0,4,0,0,29,129,251,175,135,147,96,170,85,121
"661","1400000US11001008301",11001008301,"Census Tract 83.01, District of Columbia, District of Columbia","2014",84,435,0,0,6,0,21,98,418,29,67,32,99,21,66,150
"662","1400000US11001008302",11001008302,"Census Tract 83.02, District of Columbia, District of Columbia","2014",41,472,5,0,0,0,50,65,340,53,73,55,105,62,41,102
"663","1400000US11001008402",11001008402,"Census Tract 84.02, District of Columbia, District of Columbia","2014",149,634,18,0,0,0,5,77,251,60,82,127,78,78,49,220
"664","1400000US11001008410",11001008410,"Census Tract 84.10, District of Columbia, District of Columbia","2014",84,178,10,0,0,34,21,151,134,5,29,20,50,6,16,54
"665","1400000US11001008701",11001008701,"Census Tract 87.01, District of Columbia, District of Columbia","2014",108,457,17,9,0,6,25,211,165,0,63,64,25,61,66,156
"666","1400000US11001008702",11001008702,"Census Tract 87.02, District of Columbia, District of Columbia","2014",140,330,6,0,0,0,101,218,37,5,38,51,24,71,34,95
"667","1400000US11001008802",11001008802,"Census Tract 88.02, District of Columbia, District of Columbia","2014",284,1015,18,17,31,18,243,334,123,0,95,104,89,93,152,391
"668","1400000US11001008803",11001008803,"Census Tract 88.03, District of Columbia, District of Columbia","2014",175,403,0,0,0,27,44,4,2,0,17,7,38,53,16,200
"669","1400000US11001008804",11001008804,"Census Tract 88.04, District of Columbia, District of Columbia","2014",336,795,19,2,28,25,105,118,19,11,79,34,102,41,48,422
"670","1400000US11001008903",11001008903,"Census Tract 89.03, District of Columbia, District of Columbia","2014",205,1094,22,18,28,25,143,85,0,0,166,0,112,102,72,572
"671","1400000US11001008904",11001008904,"Census Tract 89.04, District of Columbia, District of Columbia","2014",345,1359,0,0,11,83,67,39,0,0,239,183,106,193,99,491
"672","1400000US11001009000",11001009000,"Census Tract 90, District of Columbia, District of Columbia","2014",143,1056,0,20,23,142,147,230,76,0,75,40,129,194,176,403
"673","1400000US11001009102",11001009102,"Census Tract 91.02, District of Columbia, District of Columbia","2014",169,1255,42,9,10,39,237,202,66,0,213,206,146,106,53,466
"674","1400000US11001009201",11001009201,"Census Tract 92.01, District of Columbia, District of Columbia","2014",107,356,0,18,0,6,44,98,65,14,46,52,27,27,37,149
"675","1400000US11001009203",11001009203,"Census Tract 92.03, District of Columbia, District of Columbia","2014",286,459,0,11,10,17,153,298,59,0,70,31,71,34,28,207
"676","1400000US11001009204",11001009204,"Census Tract 92.04, District of Columbia, District of Columbia","2014",134,1151,26,0,25,9,92,44,2,0,98,130,144,101,96,512
"677","1400000US11001009301",11001009301,"Census Tract 93.01, District of Columbia, District of Columbia","2014",45,303,35,23,0,9,37,542,210,10,56,33,64,0,65,76
"678","1400000US11001009302",11001009302,"Census Tract 93.02, District of Columbia, District of Columbia","2014",64,116,2,0,4,18,54,212,42,0,22,3,13,15,0,63
"679","1400000US11001009400",11001009400,"Census Tract 94, District of Columbia, District of Columbia","2014",167,370,38,0,0,41,136,836,230,0,27,39,8,13,7,231
"680","1400000US11001009501",11001009501,"Census Tract 95.01, District of Columbia, District of Columbia","2014",198,1384,30,0,0,0,150,189,0,10,148,111,108,137,81,696
"681","1400000US11001009503",11001009503,"Census Tract 95.03, District of Columbia, District of Columbia","2014",62,185,5,33,21,12,154,675,140,0,0,24,31,0,8,122
